VIN001,2020,Toyota,Camry,1
VIN002,2018,Honda,Civic,2
VIN003,1993,Ford,Mustang,3
VIN004,2015,Chevrolet,Malibu,4
VIN005,2022,Tesla,Model3,5
VIN006,1992,BMW,325i,6
VIN007,2019,Hyundai,Elantra,7
VIN008,2010,Nissan,Altima,8
VIN009,1994,Toyota,Corolla,9
VIN010,2021,Honda,Accord,10
VIN011,2017,Ford,Focus,1
VIN012,1991,Chevrolet,Camaro,1
VIN013,2023,Kia,Sorento,1
VIN014,2016,Mazda,CX5,1
VIN015,2014,Subaru,Outback,1
VIN016,1990,Toyota,Supra,1
VIN017,2019,Volkswagen,Jetta,1
VIN018,2011,Honda,CRV,1
VIN019,2020,Hyundai,Tucson,1
VIN020,1993,Ford,Ranger,1
VIN021,2022,Nissan,Rogue,1
VIN022,2013,BMW,X3,1
VIN023,2018,Toyota,RAV4,1
VIN024,1994,Dodge,Ram,1
VIN025,2021,Chevrolet,Equinox,1
VIN026,2015,Honda,Pilot,1
VIN027,2009,Ford,Explorer,1
VIN028,2020,Kia,Forte,1
VIN029,1992,Toyota,Tercel,1
VIN030,2023,Tesla,ModelY,1
VIN031,2017,Mazda,Mazda3,1
VIN032,2016,Subaru,Impreza,2
VIN033,1991,Honda,Prelude,3
VIN034,2022,Toyota,Tacoma,4
VIN035,2019,Ford,Escape,5
VIN036,1993,Nissan,Sentra,6
VIN037,2020,Chevrolet,Blazer,7
VIN038,2014,Hyundai,SantaFe,8
VIN039,1990,BMW,M3,9
VIN040,2023,Honda,HRV,10
